sm	R	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
sm-.0001	R-10	N-100	1D	51127-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.276015764408362	0.869850746268657	0.985286069651741	24975	3775	4275	421	40	40	1000	24975	3000
sm-.0001	R-10	N-100	1D	5172-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.629408893773413	0.995651741293532	1	24975	5775	10700	421	40	40	24975	24975	125
sm-.0001	R-10	N-100	1D	52286-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.523779203743752	0.999680348258706	0.986390547263682	24975	10025	8300	421	40	40	24975	24975	175
sm-.0001	R-10	N-100	1D	52346-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.361293295990357	0.904105721393035	0.92135447761194	24975	900	2725	421	40	40	24975	24975	325
sm-.0001	R-10	N-100	1D	53684-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.481073374221529	0.999819651741294	0.945837064676617	24975	725	2150	421	40	40	24975	24975	450
sm-.0001	R-10	N-100	1D	57082-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.410189314709115	0.993082089552239	0.991657960199005	24975	2325	2425	421	40	40	24975	24975	200
sm-.0001	R-10	N-100	1D	58229-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.431192848110989	0.947944029850746	0.991460199004975	24975	650	9450	421	40	40	24975	24975	275
sm-.0001	R-10	N-100	1D	59292-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.317097883504095	0.907427860696517	0.964633084577114	24975	500	1025	421	40	40	24975	24975	275
sm-.0001	R-10	N-100	1D	59538-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.387595041419979	0.961601990049751	0.953975124378109	24975	4125	2375	421	40	40	24975	24975	675
sm-.0001	R-10	N-100	1D	62960-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.459815057727987	0.971997512437811	0.966218905472637	24975	1575	2525	421	40	40	0	24975	175
sm-.0001	R-10	N-100	1D	6606-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.31900934756148	0.946742537313433	0.983405472636816	24975	75	2625	421	40	40	24975	24975	50
sm-.0001	R-10	N-100	1D	67465-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.504324222119805	0.998587064676617	0.998963930348259	24975	1050	2225	421	40	40	24975	24975	75
sm-.0001	R-10	N-100	1D	74524-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.383340660119828	0.96085447761194	0.96382960199005	24975	1950	2875	421	40	40	24975	24975	750
sm-.0001	R-10	N-100	1D	76005-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.388995639380296	0.964541044776119	0.958787313432836	24975	250	1300	421	40	40	24975	24975	225
sm-.0001	R-10	N-100	1D	83636-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.491822360879687	0.980628109452736	0.949654228855721	24975	2125	2675	421	40	40	24975	24975	150
sm-.0001	R-10	N-100	1D	87546-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.370316706254949	0.929047263681592	0.984542288557214	24975	2050	2850	421	40	40	24975	24975	175
sm-.0001	R-10	N-100	1D	87873-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.394818662034247	0.994452736318408	0.993050995024876	24975	1225	1900	421	40	40	24975	24975	325
sm-.0001	R-10	N-100	1D	95887-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.310304297987497	0.95498631840796	0.988965174129353	24975	24975	825	421	40	40	24975	24975	125
sm-.0001	R-10	N-100	1D	98397-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.292673686200825	0.950223880597015	0.982148009950249	24975	600	1725	421	40	40	24975	24975	200
sm-.0001	R-10	N-100	2D	1200-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	13196-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
