mu	sm	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
mu1e-5	sm-.0001	N-100	1D	24840-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.146135120417811	0.915719382883562	NA	24975	15675	NA	402	99	NA	13425	12675	NA
mu1e-5	sm-.0001	N-100	1D	25453-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.350258904482562	0.922432785567114	NA	24975	3600	NA	402	99	NA	2700	1875	NA
mu1e-5	sm-.0001	N-100	1D	26940-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.240126234499146	0.936761646313885	NA	24975	17475	NA	402	99	NA	16425	15825	NA
mu1e-5	sm-.0001	N-100	1D	27314-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.297038068364644	0.88287351123172	NA	24975	5825	NA	402	99	NA	4325	4000	NA
mu1e-5	sm-.0001	N-100	1D	27596-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.432224202371228	0.965897281270416	NA	24975	13525	NA	402	99	NA	12275	11800	NA
mu1e-5	sm-.0001	N-100	1D	30357-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.287934580827207	0.97787728026534	NA	24975	9275	NA	402	99	NA	5125	7625	NA
mu1e-5	sm-.0001	N-100	1D	31243-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.439491844261281	0.986587768229559	NA	24975	9400	NA	402	99	NA	7750	6250	NA
mu1e-5	sm-.0001	N-100	1D	32493-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.337491893765006	0.931027187295844	NA	24975	4275	NA	402	99	NA	2950	2350	NA
mu1e-5	sm-.0001	N-100	1D	35907-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.455014727358234	0.982617216945575	NA	24975	6550	NA	402	99	NA	5475	4800	NA
mu1e-5	sm-.0001	N-100	1D	37085-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.418501769758174	0.950773908236595	NA	24975	5125	NA	402	99	NA	3725	2925	NA
